index,l(w),l(x),l(y),l(xy),l(yx),l(y*x),l(y\lefttriangle x),\mu_1,\mu_2,\mu_3,\mu_4,\mu_5,\delta(x_12),\delta(x_13),\delta(x_14),\delta(x_15),\delta(x_23),\delta(x_24),\delta(x_25),\delta(x_34),\delta(x_35),\delta(x_45),\delta(y^-1_12),\delta(y^-1_13),\delta(y^-1_14),\delta(y^-1_15),\delta(y^-1_23),\delta(y^-1_24),\delta(y^-1_25),\delta(y^-1_34),\delta(y^-1_35),\delta(y^-1_45),dimension,components
69,45,5,4,5,5,7,2,5,1,0,-1,-5,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,25,6
70,59,5,4,5,5,7,1,5,4,0,-3,-6,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,32,9
71,67,5,2,5,5,6,0,6,5,-2,-3,-6,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,36,3
72,67,7,4,5,7,9,0,6,5,-2,-3,-6,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,37,7
73,59,7,4,5,5,9,0,6,3,-1,-3,-5,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,32,3
74,39,5,6,5,5,8,2,3,2,1,0,-6,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,22,1
75,52,6,4,4,6,8,0,6,1,0,-2,-5,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,29,15
76,40,5,7,4,6,10,4,4,3,-1,-2,-4,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,23,4
77,38,4,6,4,6,8,4,6,0,-1,-2,-3,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,22,2
78,56,1,5,4,6,6,5,6,3,0,-3,-6,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,31,6
79,54,7,7,4,6,10,1,5,4,-1,-3,-5,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,30,6
80,38,3,7,4,6,8,5,4,2,1,-3,-4,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,22,3
81,48,3,7,4,6,8,5,5,3,0,-3,-5,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,27,14
82,56,7,7,4,6,10,1,5,4,-1,-2,-6,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,31,6
83,44,3,7,4,6,8,5,4,3,0,-1,-6,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,25,30
84,58,7,7,4,6,10,1,5,3,2,-4,-6,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,32,8
85,54,3,7,4,6,8,5,5,3,2,-4,-6,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,30,4
86,44,5,1,4,6,6,0,3,2,1,0,-6,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,25,12
87,58,5,1,4,6,6,0,5,4,-1,-3,-5,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,32,4
88,46,4,2,4,6,6,2,4,3,0,-3,-4,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,26,2
89,54,6,2,4,6,7,0,4,3,2,-4,-5,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,30,6
90,60,6,4,4,6,9,1,5,3,2,-4,-6,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,33,10
91,36,6,4,4,6,9,1,4,1,0,-2,-3,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,21,18
92,54,2,4,4,6,6,4,5,4,0,-4,-5,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,30,9
93,56,6,4,4,6,9,1,5,3,1,-4,-5,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,31,14
94,50,6,4,4,6,9,1,4,3,0,-1,-6,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,28,8
95,72,7,3,4,6,8,0,6,5,0,-5,-6,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,39,12
96,44,6,4,4,6,9,1,5,1,0,-2,-4,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,25,28
97,60,8,4,4,6,10,0,6,2,1,-4,-5,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,33,12
98,60,6,2,4,6,7,0,6,2,0,-2,-6,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,33,36
99,50,4,4,4,6,7,3,4,3,1,-2,-6,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,28,20
100,58,3,5,4,6,7,4,6,4,-1,-4,-5,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,32,7
101,68,7,3,4,6,9,0,6,5,-2,-3,-6,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,37,20
102,47,3,8,5,7,10,6,6,2,-1,-2,-5,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,27,30
103,49,8,3,5,7,10,0,4,2,1,-2,-5,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,28,48
104,57,8,3,5,7,10,0,6,3,-2,-3,-4,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,32,24
105,52,6,4,4,6,8,2,5,2,1,-3,-5,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,29,8
106,54,6,4,4,6,8,2,6,3,-2,-3,-4,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,30,4
107,56,7,7,4,6,10,2,5,4,0,-4,-5,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,31,1
108,52,7,5,4,6,10,1,5,2,0,-1,-6,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,29,28
109,40,7,3,4,6,8,0,4,2,-1,-2,-3,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,23,6
110,60,6,2,4,6,7,0,6,2,1,-4,-5,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,33,7
111,54,6,2,4,6,7,0,6,2,-1,-3,-4,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,30,6
112,48,4,6,4,6,8,4,5,2,1,-3,-5,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,27,10
113,40,5,7,4,6,10,4,4,2,0,-1,-5,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,23,24
114,56,8,4,4,6,10,0,6,2,-1,-2,-5,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,31,16
115,38,5,7,4,6,10,4,3,2,1,0,-6,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,22,18
116,54,8,4,4,6,10,0,5,2,1,-3,-5,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,30,20
117,38,7,7,4,6,10,2,3,2,1,-1,-5,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,22,4
118,42,6,4,4,6,8,2,6,0,-1,-2,-3,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,24,7
119,56,5,7,4,6,10,4,6,4,-2,-3,-5,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,31,8
120,48,4,6,4,6,8,3,5,3,-1,-2,-5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,27,4
121,46,5,5,4,6,9,1,6,1,-1,-2,-4,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,26,20
122,42,3,5,4,6,7,4,5,1,0,-1,-5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,24,18
123,48,3,7,4,6,9,5,5,3,0,-3,-5,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,27,8
124,42,2,4,4,6,6,4,4,2,1,-2,-5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,24,9
125,50,3,3,4,6,6,2,4,3,2,-4,-5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,28,1
126,43,3,8,7,7,9,6,5,3,-1,-3,-4,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,25,23
127,45,4,7,7,7,9,5,6,1,0,-3,-4,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,26,24
128,51,6,5,7,5,9,1,5,3,-1,-2,-5,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,28,4
